id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
4721388,Home in Santa Cruz · ★4.94 · 3 bedrooms · 6 beds · 2 baths,24389365,Bruce,,City of Santa Cruz,36.95092,-122.05336,Entire home/apt,635,2,68,2023-12-26,0.93,1,346,9,
4767049,Guesthouse in Santa Cruz · ★4.75 · Studio · 1 bed · 1 bath,15321695,Chrissi,,City of Santa Cruz,36.97405,-122.03173,Entire home/apt,130,2,4,2023-12-29,0.04,1,350,1,
4774897,Home in Aptos · ★4.85 · 4 bedrooms · 4 beds · 2.5 baths,7384560,Suzanne And Britain,,Unincorporated Areas,36.95404,-121.87004,Entire home/apt,758,2,68,2023-09-03,0.63,1,364,7,
4803817,Guest suite in Felton · ★4.92 · Studio · 1 bed · 1 bath,24748533,Mateo,,Unincorporated Areas,37.04027,-122.0778,Entire home/apt,126,2,725,2023-12-29,6.62,1,287,52,
4831433,Home in Santa Cruz · ★4.95 · 1 bedroom · 2 beds · 1 bath,16023185,Yvonne,,City of Santa Cruz,36.96555,-122.00776,Entire home/apt,247,3,297,2023-12-26,2.74,1,0,46,
4908139,Home in Aptos · ★4.81 · 1 bedroom · 2 beds · 1 shared bath,25270059,Sharon,,Unincorporated Areas,36.96659,-121.8739,Private room,66,1,175,2023-11-10,1.61,2,148,7,
4950937,Treehouse in Aptos · ★4.90 · 3 bedrooms · 3 beds · 1 bath,100114471,Janiece,,Unincorporated Areas,36.98915,-121.92288,Entire home/apt,462,2,450,2023-12-20,4.58,16,0,82,
4995895,Home in Santa Cruz · ★4.82 · 2 bedrooms · 3 beds · 1 bath,256935,Jason,,City of Santa Cruz,36.98099,-122.0093,Entire home/apt,297,3,45,2023-12-26,0.49,2,365,1,
5040377,Condo in Aptos · ★4.66 · 2 bedrooms · 4 beds · 2.5 baths,24413952,Power West,,Unincorporated Areas,36.95013,-121.87598,Entire home/apt,313,2,207,2023-08-06,1.95,34,365,11,
5090998,Guesthouse in Felton · ★4.95 · 1 bedroom · 1 bed · 1 bath,8596302,Tari,,Unincorporated Areas,37.0574,-122.07943,Entire home/apt,158,3,128,2023-10-18,1.18,1,339,17,
5128309,Condo in Aptos · ★4.85 · 2 bedrooms · 2 beds · 2 baths,26510674,Karen,,Unincorporated Areas,36.96737,-121.9023,Entire home/apt,267,4,110,2023-09-25,1.03,1,214,12,
5153010,Home in Santa Cruz · ★4.94 · 3 bedrooms · 3 beds · 2 baths,25908646,Sally,,City of Santa Cruz,36.95633,-122.03033,Entire home/apt,350,2,311,2023-07-21,2.89,1,171,22,
5160065,Home in Santa Cruz · ★4.89 · 3 bedrooms · 3 beds · 2 baths,21857932,Rebecca,,City of Santa Cruz,36.97803,-122.00287,Entire home/apt,260,5,9,2023-08-06,0.08,1,10,1,
5193718,Home in Santa Cruz · ★4.88 · 1 bedroom · 1 bed · 1 private bath,484150,Lewis D,,Unincorporated Areas,36.97409,-121.98085,Private room,156,1,538,2023-11-11,5.01,1,361,31,
5309031,Cottage in Santa Cruz · ★4.77 · 1 bedroom · 1 bed · 1 bath,5238718,Daniela,,City of Capitola,36.95815,-121.97216,Entire home/apt,176,1,407,2023-11-25,3.77,1,0,43,
5328145,Rental unit in Aptos · ★4.81 · 1 bedroom · 1 bed · 1 bath,26598591,Myra,,Unincorporated Areas,36.97153,-121.90045,Entire home/apt,188,3,226,2023-11-07,2.09,1,179,23,
5395988,Guest suite in Santa Cruz · ★4.82 · 1 bedroom · 2 beds · 1 bath,17966712,Marie & Peter,,Unincorporated Areas,36.96544,-121.985,Entire home/apt,86,1,976,2023-12-20,9.05,2,126,108,
5443596,Home in Santa Cruz · ★4.88 · 3 bedrooms · 5 beds · 2 baths,20495088,De Anna,,City of Capitola,36.96073,-121.97431,Entire home/apt,364,3,155,2023-11-12,1.46,1,169,13,
5444278,Home in Santa Cruz · ★4.76 · 4 bedrooms · 6 beds · 2 baths,28238426,Robin,,City of Capitola,36.95712,-121.97426,Entire home/apt,431,2,193,2023-11-26,1.90,1,332,11,
5517422,Home in Santa Cruz · ★4.90 · 2 bedrooms · 2 beds · 1 bath,282520,Jennifer,,Unincorporated Areas,36.96506,-121.99116,Entire home/apt,185,2,399,2023-12-17,3.74,1,225,50,
5694324,Home in Santa Cruz · ★4.82 · 1 bedroom · 1 bed · 1 bath,29515936,Claudia,,City of Santa Cruz,36.98038,-122.04123,Private room,124,5,17,2015-08-30,0.16,1,179,0,
5748537,Guest suite in Scotts Valley · ★4.86 · 1 bedroom · 1 bed · 1 bath,5733253,Mp,,City of Scotts Valley,37.04381,-122.01923,Entire home/apt,79,20,37,2023-10-31,0.38,2,223,2,
5770732,Guest suite in Santa Cruz · ★4.96 · 1 bedroom · 1 bed · 1 bath,1489277,Gabriel,,City of Santa Cruz,36.98225,-121.99177,Entire home/apt,149,1,210,2023-12-19,2.28,6,0,63,
5775374,Home in La Selva Beach · ★4.68 · 3 bedrooms · 4 beds · 2 baths,29965666,Monica And Mike,,Unincorporated Areas,36.93631,-121.86004,Entire home/apt,688,2,120,2023-10-17,2.07,9,356,17,
5826034,Place to stay in Santa Cruz · ★4.93 · 1 bedroom · 1 bed · 1 bath,27018411,Toni,,City of Santa Cruz,36.96829,-122.03685,Entire home/apt,120,1,669,2023-12-28,6.28,2,0,64,
5955532,Home in Pajaro Dunes · ★4.69 · 6 bedrooms · 10 beds · 4 baths,29898175,At The Dunes,,Unincorporated Areas,36.855431,-121.812286,Entire home/apt,840,1,95,2023-06-11,0.90,31,262,3,
5970821,Cottage in Santa Cruz · ★4.79 · 3 bedrooms · 3 beds · 1 bath,15621080,Sabina,,City of Santa Cruz,36.96575,-122.00801,Entire home/apt,333,2,478,2023-11-25,4.51,1,322,27,
6004171,Guest suite in Aptos · ★4.99 · 1 bedroom · 1 bed · Half-bath,30168031,Kevin And Linda,,Unincorporated Areas,36.98164,-121.92127,Entire home/apt,178,1,685,2023-12-17,6.46,1,128,48,
6016277,Home in Pajaro Dunes · ★4.48 · 5 bedrooms · 8 beds · 2 baths,29898175,At The Dunes,,Unincorporated Areas,36.85437,-121.812248,Entire home/apt,997,1,115,2023-10-09,1.09,31,279,6,
6087875,Guesthouse in Scotts Valley · ★4.77 · Studio · 1 bed · 1 bath,30536103,Stephanie,,City of Scotts Valley,37.07202,-121.98634,Entire home/apt,99,2,877,2023-12-11,8.29,1,335,62,
6107532,Home in Capitola · ★5.0 · 4 bedrooms · 7 beds · 3 baths,31691139,Michelle,,City of Capitola,36.97296,-121.94828,Entire home/apt,500,30,8,2023-08-31,0.12,2,231,1,
6199468,Home in Santa Cruz · ★5.0 · 3 bedrooms · 5 beds · 2 baths,32149853,Neill,,City of Capitola,36.96265,-121.9685,Entire home/apt,650,10,13,2022-09-12,0.17,1,11,0,
6213348,Home in Watsonville · ★4.96 · Studio · 1 bed · 1 bath,27507663,Nonie,,Unincorporated Areas,36.89381,-121.83635,Entire home/apt,261,2,601,2023-12-12,5.70,1,286,70,
6276714,Cottage in La Selva Beach · ★4.91 · 2 bedrooms · 4 beds · 1.5 baths,31183990,Lori,,Unincorporated Areas,36.92874,-121.85589,Entire home/apt,350,3,57,2023-11-25,0.81,1,334,5,
6287990,Home in Corralitos · ★4.94 · 1 bedroom · 1 bed · 1 private bath,31597228,Kris,,Unincorporated Areas,36.98826,-121.80927,Private room,121,2,109,2023-11-08,1.04,1,347,15,
6316239,Home in Santa Cruz · ★4.83 · 4 bedrooms · 6 beds · 3 baths,4843982,Geoff & Katie,,City of Santa Cruz,36.95326,-122.05395,Entire home/apt,604,2,258,2023-12-26,2.54,1,203,26,
6317885,Home in Santa Cruz · ★4.87 · 2 bedrooms · 2 beds · 2 baths,5146239,David,,City of Santa Cruz,36.97631,-122.03572,Entire home/apt,208,30,203,2022-03-07,1.95,1,305,0,
6318224,Home in Santa Cruz · ★4.95 · 2 bedrooms · 3 beds · 1 bath,31309636,Colleen,,City of Santa Cruz,36.97122,-122.00749,Entire home/apt,260,7,193,2023-09-04,1.84,1,56,9,
6361793,Condo in Pajaro Dunes · ★4.65 · 3 bedrooms · 4 beds · 2 baths,29898175,At The Dunes,,Unincorporated Areas,36.8736,-121.82304,Entire home/apt,451,1,62,2023-07-25,0.59,31,334,2,
6423559,Bungalow in Capitola · ★4.55 · 1 bedroom · 2 beds · 1 bath,24413952,Power West,,City of Capitola,36.97542,-121.95308,Entire home/apt,232,2,198,2023-12-17,1.91,34,351,11,
6434158,Bungalow in Santa Cruz · ★4.84 · 3 bedrooms · 4 beds · 2 baths,33585137,Hal,,City of Santa Cruz,36.9784,-122.00927,Entire home/apt,250,5,75,2023-08-01,0.72,1,60,7,
6434246,Home in Capitola · ★4.54 · 1 bedroom · 3 beds · 1 bath,24413952,Power West,,City of Capitola,36.97462463378906,-121.95402526855469,Entire home/apt,206,2,264,2023-12-24,2.54,34,360,11,
6502369,Condo in Watsonville · ★4.56 · 2 bedrooms · 3 beds · 2 baths,24413952,Power West,,Unincorporated Areas,36.87343,-121.82246,Entire home/apt,522,2,153,2023-12-27,1.48,34,362,16,
6562632,Guest suite in Aptos · ★4.91 · Studio · 2 beds · 1.5 baths,24281,Kitty And Michael,,Unincorporated Areas,37.01024,-121.88409,Entire home/apt,114,2,599,2023-12-29,6.25,2,153,56,
6623286,Home in Santa Cruz · ★4.78 · 1 bedroom · 3 beds · 1 bath,6002,Lora,,City of Santa Cruz,36.97917,-122.01665,Entire home/apt,199,28,9,2021-07-25,0.09,1,117,0,
6643947,Home in Santa Cruz · ★4.84 · 1 bedroom · 2 beds · 1 bath,34775074,Lori,,City of Santa Cruz,36.98396,-122.01313,Entire home/apt,69,31,139,2022-04-30,1.34,1,294,0,
6644667,Bungalow in Santa Cruz · ★4.76 · 2 bedrooms · 4 beds · 1 bath,34779430,Josie,,City of Santa Cruz,36.96294,-122.02491,Entire home/apt,332,2,190,2023-11-26,1.83,1,247,16,
6659455,Condo in Pajaro Dunes · ★4.61 · 3 bedrooms · 4 beds · 2.5 baths,29898175,At The Dunes,,Unincorporated Areas,36.853111,-121.810799,Entire home/apt,367,1,64,2023-08-22,0.63,31,356,5,
6676809,Condo in Watsonville · ★4.94 · 2 bedrooms · 3 beds · 2 baths,13709231,Marc,,Unincorporated Areas,36.873631,-121.823524,Entire home/apt,291,2,386,2023-12-03,3.72,1,0,38,
6713096,Home in Watsonville · ★5.0 · 4 bedrooms · 6 beds · 3 baths,29898175,At The Dunes,,Unincorporated Areas,36.85482,-121.81193,Entire home/apt,840,1,4,2023-09-24,0.06,31,316,2,
6715172,Condo in Pajaro Dunes · ★4.49 · 4 bedrooms · 6 beds · 4 baths,29898175,At The Dunes,,Unincorporated Areas,36.86684,-121.818077,Entire home/apt,756,1,80,2023-11-05,0.78,31,333,4,
6715446,Home in Pajaro Dunes · ★4.68 · 3 bedrooms · 4 beds · 2 baths,29898175,At The Dunes,,Unincorporated Areas,36.86374,-121.81702,Entire home/apt,487,1,21,2023-09-04,0.22,31,0,1,
6715845,Home in Pajaro Dunes · ★4.36 · 4 bedrooms · 6 beds · 4.5 baths,29898175,At The Dunes,,Unincorporated Areas,36.861298,-121.815849,Entire home/apt,802,1,42,2023-07-23,0.43,31,347,2,
6761306,Home in Pajaro Dunes · ★4.68 · 4 bedrooms · 6 beds · 4 baths,29898175,At The Dunes,,Unincorporated Areas,36.859413,-121.814575,Entire home/apt,787,1,38,2023-12-17,0.37,31,181,8,
6765378,Condo in Pajaro Dunes · ★4.65 · 3 bedrooms · 4 beds · 2 baths,29898175,At The Dunes,,Unincorporated Areas,36.853172,-121.810928,Entire home/apt,498,1,100,2023-09-25,0.99,31,328,5,
6766236,Condo in Pajaro Dunes · ★4.61 · 4 bedrooms · 5 beds · 2 baths,29898175,At The Dunes,,Unincorporated Areas,36.852924,-121.810036,Entire home/apt,687,1,18,2021-10-24,0.18,31,266,0,
6779052,Condo in Pajaro Dunes · ★4.77 · 4 bedrooms · 10 beds · 2.5 baths,29898175,At The Dunes,,Unincorporated Areas,36.85289,-121.80985,Entire home/apt,761,1,65,2023-08-18,0.63,31,232,6,
6779182,Condo in Watsonville · ★4.37 · 3 bedrooms · 5 beds · 2 baths,29898175,At The Dunes,,Unincorporated Areas,36.88208,-121.82742,Entire home/apt,330,1,27,2023-08-09,0.26,31,349,2,
6780071,Condo in Pajaro Dunes · ★4.39 · 2 bedrooms · 1 bed · 2 baths,29898175,At The Dunes,,Unincorporated Areas,36.8697,-121.8213,Entire home/apt,330,1,23,2023-06-12,0.22,31,364,1,
6809157,Rental unit in Pajaro Dunes · ★4.77 · 1 bedroom · 1 bed · 1 bath,29898175,At The Dunes,,Unincorporated Areas,36.87254,-121.8197,Entire home/apt,277,1,64,2023-09-03,0.63,31,334,12,
6809514,Condo in Pajaro Dunes · ★4.59 · 2 bedrooms · 3 beds · 2 baths,29898175,At The Dunes,,Unincorporated Areas,36.87268,-121.82257,Entire home/apt,386,1,17,2023-05-08,0.17,31,348,1,
